"","x"
"211","Tbrucei---Tb927.8.8330"
"212","Tbrucei---Tb927.10.1390"
"213","Tbrucei---Tb927.8.6170"
"214","Tbrucei---Tb927.10.7930"
"215","Tbrucei---Tb927.5.1460"
"216","Tbrucei---Tb927.1.120"
"217","Tbrucei---Tb927.11.14300"
"218","Tbrucei---Tb927.11.2400"
"219","Tbrucei---Tb927.9.9100"
"220","Tbrucei---Tb927.5.4020"
"221","Tbrucei---Tb927.9.15400"
"222","Tbrucei---Tb927.2.2670"
"223","Tbrucei---Tb927.11.2540"
"224","Tbrucei---Tb927.5.610"
"225","Tbrucei---Tb927.3.3750"
"226","Tbrucei---Tb927.5.3800"
"227","Tbrucei---Tb927.10.2880"
"228","Tbrucei---Tb927.9.4750"
"229","Tbrucei---Tb927.3.4270"
"230","Tbrucei---Tb927.10.7860"
"231","Tbrucei---Tb927.5.1810"
"232","Tbrucei---Tb10.v4.0129"
"233","Tbrucei---Tb927.6.620"
"234","Tbrucei---Tb927.9.9290"
"235","Tbrucei---Tb11.v5.0713"
"236","Tbrucei---Tb927.7.7510"
"237","Tbrucei---Tb927.10.1030"
"238","Tbrucei---Tb927.9.4500"
"239","Tbrucei---Tb927.11.16615"
"240","Tbrucei---Tb927.9.6560"
"241","Tbrucei---COIII"
"242","Tbrucei---Tb927.9.2980"
"243","Tbrucei---Tb927.11.14165"
"244","Tbrucei---Tb927.11.1280"
"245","Tbrucei---Tb927.8.4580"
"246","Tbrucei---Tb927.9.12170"
"247","Tbrucei---Tb927.8.3770"
"248","Tbrucei---Tb927.10.6630"
"249","Tbrucei---Tb927.3.5520"
"250","Tbrucei---Tb927.10.8890"
"251","Tbrucei---Tb927.9.1440"
"252","Tbrucei---Tb927.8.2780"
"253","Tbrucei---Tb927.1.1500"
"254","Tbrucei---Tb927.10.840"
"255","Tbrucei---Tb927.11.15720"
"256","Tbrucei---Tb927.9.8670"
"257","Tbrucei---Tb11.v5.0660"
"258","Tbrucei---Tb11.v5.0695"
"259","Tbrucei---Tb927.1.880"
"260","Tbrucei---Tb927.4.5120"
"261","Tbrucei---Tb11.v5.0153"
"262","Tbrucei---Tb927.10.2810"
"263","Tbrucei---Tb927.11.14950"
"264","Tbrucei---Tb927.9.11100"
"265","Tbrucei---Tb927.9.5040"
"266","Tbrucei---Tb927.7.2170"
"267","Tbrucei---Tb927.11.4460"
"268","Tbrucei---Tb927.11.16550"
"269","Tbrucei---Tb927.4.4880"
"270","Tbrucei---Tb927.10.3490"
"271","Tbrucei---Tb927.7.4170"
"272","Tbrucei---Tb927.6.4770"
"273","Tbrucei---Tb927.10.540"
"274","Tbrucei---Tb927.11.9400"
"275","Tbrucei---Tb927.1.2120"
"276","Tbrucei---Tb927.10.12700"
"277","Tbrucei---Tb927.10.13780"
"278","Tbrucei---Tb927.8.760"
"279","Tbrucei---Tb927.6.3000"
"280","Tbrucei---Tb927.11.2430"
"281","Tbrucei---Tb927.11.1450"
"282","Tbrucei---Tb927.7.6340"
"283","Tbrucei---Tb927.8.2550"
"284","Tbrucei---Tb927.6.4300"
"285","Tbrucei---Tb927.8.3530"
"286","Tbrucei---Tb927.9.11600"
"287","Tbrucei---Tb927.11.9590"
"288","Tbrucei---Tb927.11.2610"
"289","Tbrucei---Tb927.10.2890"
"290","Tbrucei---Tb927.1.3830"
"291","Tbrucei---Tb927.1.3950"
"292","Tbrucei---Tb927.2.1890"
"293","Tbrucei---Tb927.3.4720"
"294","Tbrucei---Tb927.10.10140"
"295","Tbrucei---Tb927.3.720"
"296","Tbrucei---Tb927.11.3650"
"297","Tbrucei---Tb927.11.13270"
"298","Tbrucei---Tb927.10.4560"
"299","Tbrucei---Tb927.9.4680"
"300","Tbrucei---Tb927.11.11690"
"301","Tbrucei---Tb927.6.3500"
"302","Tbrucei---ND4"
"303","Tbrucei---Tb927.10.5840"
"304","Tbrucei---Tb927.6.5070"
"305","Tbrucei---Tb927.8.2861"
"306","Tbrucei---Tb927.1.3850"
