"","x"
"248","Tbrucei---Tb927.7.4170"
"249","Tbrucei---Tb927.10.7860"
"250","Tbrucei---Tb11.v5.0660"
"251","Tbrucei---Tb927.11.16550"
"252","Tbrucei---Tb927.11.14090"
"253","Tbrucei---Tb927.1.3310"
"254","Tbrucei---Tb927.10.3660"
"255","Tbrucei---Tb927.4.2040"
"256","Tbrucei---Tb927.11.8440"
"257","Tbrucei---Tb927.5.1160"
"258","Tbrucei---Tb927.10.7300"
"259","Tbrucei---Tb927.9.5040"
"260","Tbrucei---Tb927.9.11580"
"261","Tbrucei---Tb927.11.7800"
"262","Tbrucei---Tb927.2.3880"
"263","Tbrucei---Tb927.8.6340"
"264","Tbrucei---Tb927.11.760"
"265","Tbrucei---Tb927.3.1010"
"266","Tbrucei---Tb927.5.1740"
"267","Tbrucei---Tb927.6.3740"
"268","Tbrucei---Tb927.6.3750"
"269","Tbrucei---Tb927.10.4180"
"270","Tbrucei---Tb927.2.4710"
"271","Tbrucei---Tb11.v5.0414"
"272","Tbrucei---Tb927.5.2010"
"273","Tbrucei---Tb927.8.7110"
"274","Tbrucei---Tb927.10.6510"
"275","Tbrucei---Tb927.10.10910"
"276","Tbrucei---Tb927.11.1020"
"277","Tbrucei---Tb11.v5.0722"
"278","Tbrucei---Tb927.10.14780"
"279","Tbrucei---Tb927.10.8930"
"280","Tbrucei---Tb927.7.470"
"281","Tbrucei---Tb11.v5.0606"
"282","Tbrucei---Tb927.10.14760"
"283","Tbrucei---Tb927.9.8950"
"284","Tbrucei---Tb927.10.1060"
"285","Tbrucei---Tb927.8.8340"
"286","Tbrucei---Tb927.3.5080"
"287","Tbrucei---Tb927.9.7520"
"288","Tbrucei---Tb927.2.4410"
"289","Tbrucei---Tb927.9.13990"
"290","Tbrucei---Tb927.7.6910"
"291","Tbrucei---Tb927.4.1080"
"292","Tbrucei---Tb927.4.710"
"293","Tbrucei---Tb927.4.1650"
"294","Tbrucei---Tb927.9.8880"
"295","Tbrucei---Tb07.11L3.100"
"296","Tbrucei---Tb927.4.560"
"297","Tbrucei---Tb927.3.3580"
"298","Tbrucei---Tb927.9.7110"
"299","Tbrucei---Tb927.10.4780"
"300","Tbrucei---Tb927.7.2190"
"301","Tbrucei---Tb927.11.4770"
"302","Tbrucei---Tb927.8.6430"
"303","Tbrucei---Tb927.3.4680"
"304","Tbrucei---Tb927.7.6710"
"305","Tbrucei---Tb927.3.3190"
"306","Tbrucei---Tb927.5.1930"
"307","Tbrucei---Tb927.8.7700"
"308","Tbrucei---Tb927.7.4160"
"309","Tbrucei---Tb927.10.8900"
"310","Tbrucei---Tb927.10.2100"
"311","Tbrucei---Tb927.11.530"
"312","Tbrucei---Tb927.2.4210"
"313","Tbrucei---Tb927.11.11330"
"314","Tbrucei---Tb927.4.760"
"315","Tbrucei---Tb927.7.710"
"316","Tbrucei---Tb927.5.810"
"317","Tbrucei---COII"
"318","Tbrucei---Tb927.7.5940"
"319","Tbrucei---Tb927.10.10260"
"320","Tbrucei---Tb927.6.510"
"321","Tbrucei---Cyb"
"322","Tbrucei---Tb927.8.8130"
"323","Tbrucei---Tb927.3.2230"
"324","Tbrucei---Tb927.10.7410"
"325","Tbrucei---Tb927.8.6750"
"326","Tbrucei---Tb927.9.7470"
"327","Tbrucei---Tb927.8.760"
"328","Tbrucei---Tb927.7.6850"
"329","Tbrucei---Tb927.11.6440"
"330","Tbrucei---Tb927.8.730"
"331","Tbrucei---Tb927.4.3950"
"332","Tbrucei---Tb927.5.4020"
"333","Tbrucei---Tb927.9.5900"
"334","Tbrucei---Tb9.NT.34"
"335","Tbrucei---Tb927.10.12840"
"336","Tbrucei---Tb927.10.10000"
"337","Tbrucei---Tb927.10.6630"
"338","Tbrucei---Tb927.7.2170"
"339","Tbrucei---Tb927.8.6170"
"340","Tbrucei---Tb927.5.3800"
"341","Tbrucei---Tb927.9.8160"
"342","Tbrucei---Tb927.10.2370"
"343","Tbrucei---Tb927.9.10400"
"344","Tbrucei---Tb927.1.4690"
"345","Tbrucei---Tb927.7.1320"
"346","Tbrucei---Tb11.v5.0153"
"347","Tbrucei---Tb927.10.2560"
"348","Tbrucei---Tb927.7.4070"
"349","Tbrucei---Tb927.10.1560"
"350","Tbrucei---Tb927.2.720"
"351","Tbrucei---Tb927.6.2890"
"352","Tbrucei---Tb927.3.1380"
"353","Tbrucei---Tb927.10.12500"
"354","Tbrucei---Tb927.7.4270"
"355","Tbrucei---Tb927.10.8510"
"356","Tbrucei---Tb927.8.7530"
"357","Tbrucei---Tb927.4.190"
"358","Tbrucei---Tb927.1.70"
"359","Tbrucei---Tb927.2.980"
"360","Tbrucei---Tb927.10.3400"
"361","Tbrucei---Tb927.9.9810"
"362","Tbrucei---Tb927.2.6000"
"363","Tbrucei---Tb927.10.3420"
"364","Tbrucei---Tb11.v5.0470"
"365","Tbrucei---Tb927.8.1680"
"366","Tbrucei---Tb927.7.6360"
"367","Tbrucei---Tb927.3.870"
"368","Tbrucei---Tb927.9.1440"
"369","Tbrucei---Tb927.10.8970"
"370","Tbrucei---Tb927.11.8220"
"371","Tbrucei---Tb927.7.610"
"372","Tbrucei---Tb927.11.6370"
"373","Tbrucei---Tb927.10.830"
"374","Tbrucei---Tb927.3.5350"
"375","Tbrucei---Tb927.3.5200"
"376","Tbrucei---Tb927.1.2600"
"377","Tbrucei---Tb927.11.7840"
"378","Tbrucei---Tb11.v5.0172"
"379","Tbrucei---Tb927.3.5060"
"380","Tbrucei---Tb927.6.3150"
"381","Tbrucei---Tb927.9.2800"
"382","Tbrucei---Tb927.9.3650"
"383","Tbrucei---Tb927.11.14850"
"384","Tbrucei---Tb927.10.2950"
"385","Tbrucei---Tb927.3.1900"
"386","Tbrucei---Tb927.9.15650"
"387","Tbrucei---Tb927.5.2950"
"388","Tbrucei---Tb927.4.1680"
"389","Tbrucei---Tb927.9.6130"
"390","Tbrucei---Tb927.2.5160"
"391","Tbrucei---Tb927.8.6720"
"392","Tbrucei---Tb927.11.4480"
"393","Tbrucei---Tb927.11.2790"
"394","Tbrucei---Tb927.6.2850"
"395","Tbrucei---Tb927.3.3300"
"396","Tbrucei---Tb927.4.2840"
"397","Tbrucei---Tb927.11.1090"
"398","Tbrucei---Tb927.9.6110"
"399","Tbrucei---Tb927.11.5640"
"400","Tbrucei---Tb927.11.8370"
"401","Tbrucei---Tb927.1.4340"
"402","Tbrucei---Tb927.2.3420"
"403","Tbrucei---Tb927.11.5510"
"404","Tbrucei---Tb927.3.1670"
"405","Tbrucei---Tb927.8.4400"
"406","Tbrucei---Tb927.7.1310"
"407","Tbrucei---Tb927.10.7350"
"408","Tbrucei---Tb927.11.4550"
"409","Tbrucei---Tb927.9.4420"
"410","Tbrucei---Tb927.3.4070"
"411","Tbrucei---Tb927.9.10890"
"412","Tbrucei---Tb927.7.5660"
"413","Tbrucei---Tb927.1.4650"
"414","Tbrucei---Tb927.11.5520"
"415","Tbrucei---Tb927.6.560"
